Sept. 14, 2020   13:07:46
Linear Sweep Voltammetry,
File: c:\users\zhanglei\desktop\zzy\ivData Source:  Experiment,
Instrument Model:  CHI660E,
Header: ,
Note: ,
,
Init E (V) = 0,
Final E (V) = 1.2,
Scan Rate (V/s) = 0.1,
Sample Interval (V) = 0.001,
Quiet Time (sec) = 2,
Sensitivity (A/V) = 0.01,
,
,
Potential/V, Current/A
,
0.435,6.45E-03
0.436,6.47E-03
0.437,6.49E-03
0.438,6.52E-03
0.439,6.54E-03
0.44,6.56E-03
0.441,6.58E-03
0.442,6.60E-03
0.443,6.62E-03
0.444,6.63E-03
0.445,6.65E-03
0.446,6.67E-03
0.447,6.69E-03
0.448,6.72E-03
0.449,6.74E-03
0.45,6.76E-03
0.451,6.78E-03
0.452,6.80E-03
0.453,6.82E-03
0.454,6.84E-03
0.455,6.86E-03
0.456,6.88E-03
0.457,6.91E-03
0.458,6.93E-03
0.459,6.95E-03
0.46,6.97E-03
0.461,6.99E-03
0.462,7.01E-03
0.463,7.03E-03
0.464,7.05E-03
0.465,7.07E-03
0.466,7.09E-03
0.467,7.11E-03
0.468,7.13E-03
0.469,7.15E-03
0.47,7.17E-03
0.471,7.19E-03
0.472,7.21E-03
0.473,7.23E-03
0.474,7.25E-03
0.475,7.27E-03
0.476,7.29E-03
0.477,7.31E-03
0.478,7.34E-03
0.479,7.36E-03
0.48,7.38E-03
0.481,7.40E-03
0.482,7.42E-03
0.483,7.44E-03
0.484,7.46E-03
0.485,7.48E-03
0.486,7.50E-03
0.487,7.52E-03
0.488,7.55E-03
0.489,7.57E-03
0.49,7.59E-03
0.491,7.61E-03
0.492,7.63E-03
0.493,7.65E-03
0.494,7.67E-03
0.495,7.69E-03
0.496,7.71E-03
0.497,7.73E-03
0.498,7.75E-03
0.499,7.77E-03
0.5,7.79E-03
0.501,7.81E-03
0.502,7.83E-03
0.503,7.85E-03
0.504,7.87E-03
0.505,7.90E-03
0.506,7.92E-03
0.507,7.94E-03
0.508,7.96E-03
0.509,7.98E-03
0.51,8.00E-03
0.511,8.02E-03
0.512,8.04E-03
0.513,8.06E-03
0.514,8.08E-03
0.515,8.10E-03
0.516,8.13E-03
0.517,8.15E-03
0.518,8.17E-03
0.519,8.19E-03
0.52,8.21E-03
0.521,8.23E-03
0.522,8.25E-03
0.523,8.27E-03
0.524,8.29E-03
0.525,8.31E-03
0.526,8.33E-03
0.527,8.35E-03
0.528,8.37E-03
0.529,8.39E-03
0.53,8.41E-03
0.531,8.44E-03
0.532,8.46E-03
0.533,8.48E-03
0.534,8.50E-03
0.535,8.52E-03
0.536,8.54E-03
0.537,8.56E-03
0.538,8.58E-03
0.539,8.60E-03
0.54,8.62E-03
0.541,8.64E-03
0.542,8.66E-03
0.543,8.68E-03
0.544,8.70E-03
